transaction_id,sender_id,receiver_id,amount,timestamp
T000038,ACC993091,ACC967195,15133,2026-01-13 13-23-00
T000039,ACC909589,ACC202114,8503.79,2026-01-15 03-40-00
T000040,ACC573690,ACC695872,9589.66,2026-01-04 14-32-00
T000041,ACC459278,ACC801620,20586.6,2026-01-11 14-46-00
T000042,ACC192783,ACC883690,20099.47,2026-01-14 09-11-00
T000043,ACC109593,ACC388712,7903.48,2026-01-08 00-47-00
T000044,ACC746326,ACC913546,9363.4,2026-01-10 05-22-00
T000045,ACC647589,ACC778593,2319.48,2026-01-15 10-15-00
T000046,ACC215006,ACC497438,2945.8,2026-01-12 08-42-00
T000047,ACC854277,ACC873517,14576.19,2026-01-12 21-15-00
T000048,ACC306039,ACC714557,22224.41,2026-01-08 12-45-00
T000049,ACC749481,ACC815663,1325.57,2026-01-05 07-13-00
T000050,ACC233376,ACC480400,1321.7,2026-01-11 03-56-00
T000051,ACC592544,ACC420362,4677.21,2026-01-10 14-19-00
T000052,ACC386926,ACC175144,19339.79,2026-01-04 19-01-00
T000053,ACC186681,ACC642415,4602.36,2026-01-05 02-21-00
T000054,ACC540032,ACC818028,2330.94,2026-01-10 19-46-00
T000055,ACC572438,ACC245538,13867.09,2026-01-08 06-55-00
T000056,ACC831041,ACC544593,16959.16,2026-01-05 02-22-00
T000057,ACC636001,ACC271919,8219.56,2026-01-09 11-13-00
T000058,ACC877025,ACC603896,13221.51,2026-01-16 05-48-00
T000059,ACC281727,ACC513901,8109.56,2026-01-05 18-12-00
T000060,ACC764968,ACC313446,23363.53,2026-01-12 12-16-00
T000061,ACC227347,ACC472546,18137.17,2026-01-14 17-52-00
T000062,ACC870613,ACC670258,20003.39,2026-01-06 02-54-00
T000063,ACC307842,ACC107294,4162.78,2026-01-03 07-43-00
T000064,ACC659179,ACC335847,17906.65,2026-01-02 19-41-00
T000065,ACC341658,ACC396856,10925.45,2026-01-02 03-32-00
T000066,ACC582188,ACC678095,17467.24,2026-01-09 08-12-00
T000067,ACC102537,ACC199782,15173.79,2026-01-13 09-56-00
T000068,ACC416212,ACC914276,5393.01,2026-01-10 02-34-00
T000069,ACC685659,ACC666013,15671.7,2026-01-08 15-58-00
T000070,ACC394596,ACC584163,21666.05,2026-01-08 17-22-00
T000071,ACC515586,ACC591612,14205.6,2026-01-06 23-33-00
T000072,ACC435177,ACC755860,6076.08,2026-01-10 19-43-00
T000073,ACC754888,ACC197793,4749.89,2026-01-05 01-08-00
T000074,ACC419334,ACC785526,17993.3,2026-01-08 03-09-00
T000075,ACC447517,ACC390747,23743.59,2026-01-04 03-12-00
T000076,ACC466575,ACC418998,22192.2,2026-01-15 11-32-00
T000077,ACC948341,ACC770282,6459.16,2026-01-07 04-33-00
T000078,ACC586913,ACC979030,11965.2,2026-01-07 04-36-00
T000079,ACC262795,ACC996219,5181.28,2026-01-06 15-16-00
T000080,ACC293773,ACC436531,11305.09,2026-01-10 05-52-00
T000081,ACC274595,ACC266653,2291.65,2026-01-10 04-55-00
T000082,ACC971087,ACC985051,13590.52,2026-01-08 09-07-00
T000083,ACC127573,ACC132834,19210.89,2026-01-07 10-02-00
T000084,ACC587646,ACC791262,2394.41,2026-01-07 16-39-00
T000085,ACC521757,ACC107867,20519.88,2026-01-09 21-53-00
T000086,ACC600014,ACC405162,7355.22,2026-01-08 13-10-00
T000087,ACC221282,ACC794458,8277,2026-01-11 00-49-00
T000088,ACC412742,ACC610080,12223.48,2026-01-02 21-53-00
T000089,ACC153523,ACC153286,2780.8,2026-01-12 13-42-00
T000090,ACC428067,ACC652297,4655.9,2026-01-07 18-15-00
T000091,ACC259641,ACC297688,11793.42,2026-01-13 23-46-00
T000092,ACC945201,ACC602765,7581.05,2026-01-11 11-23-00
T000093,ACC890189,ACC523367,11468.26,2026-01-09 08-34-00
T000094,ACC508613,ACC550109,19848.05,2026-01-03 02-39-00
T000095,ACC299065,ACC280283,22373.88,2026-01-08 11-38-00
T000096,ACC910531,ACC547940,9854.6,2026-01-12 13-49-00
T000097,ACC201786,ACC777050,6878.62,2026-01-09 16-38-00
T000098,ACC290777,ACC103894,6832.59,2026-01-04 09-31-00
T000099,ACC242641,ACC327715,12736.32,2026-01-10 18-14-00
T000100,ACC831625,ACC827296,12651.41,2026-01-10 16-31-00
T000101,ACC270517,ACC507597,9786.18,2026-01-09 16-37-00
T000102,ACC952300,ACC514581,22985.47,2026-01-10 16-48-00
T000103,ACC499746,ACC553095,2574.2,2026-01-03 08-14-00
T000104,ACC503542,ACC872623,23514.11,2026-01-12 18-59-00
T000105,ACC787509,ACC679549,3331.25,2026-01-08 07-11-00
T000106,ACC345290,ACC972563,22828.81,2026-01-10 13-22-00
T000107,ACC128555,ACC670767,21362.88,2026-01-04 04-41-00
T000108,ACC942703,ACC409810,21205.1,2026-01-06 23-38-00
T000109,ACC856831,ACC644311,20672.83,2026-01-15 14-19-00
T000110,ACC181696,ACC669366,24133.09,2026-01-15 05-46-00
T000111,ACC883788,ACC715068,19763.02,2026-01-15 07-16-00
T000112,ACC144428,ACC969108,19466.48,2026-01-09 02-06-00
T000113,ACC474265,ACC386275,23581.92,2026-01-14 15-32-00
T000114,ACC473738,ACC792486,4346.78,2026-01-04 14-59-00
T000115,ACC392364,ACC111544,7195.65,2026-01-07 06-50-00
T000116,ACC459798,ACC762941,3093.41,2026-01-12 04-24-00
T000117,ACC892366,ACC738601,22096.33,2026-01-15 05-01-00
T000118,ACC653130,ACC274825,1859.34,2026-01-14 03-19-00
T000119,ACC694465,ACC408994,12807.8,2026-01-03 01-49-00
T000120,ACC324945,ACC708160,14635.35,2026-01-07 00-38-00
T000121,ACC642525,ACC360275,12088.4,2026-01-15 01-09-00
T000122,ACC737134,ACC201270,23823.25,2026-01-10 12-46-00
T000123,ACC745774,ACC491263,21884.47,2026-01-04 13-39-00
T000124,ACC435327,ACC649544,16623.95,2026-01-01 17-02-00
T000125,ACC398233,ACC937751,7681.84,2026-01-13 20-01-00
T000126,ACC963636,ACC316070,1240.08,2026-01-05 02-41-00
T000127,ACC911720,ACC465590,22403.25,2026-01-13 20-59-00
T000128,ACC299512,ACC196951,22436.49,2026-01-10 05-17-00
T000129,ACC769925,ACC223376,19317.61,2026-01-13 19-09-00
T000130,ACC430089,ACC161513,3796.44,2026-01-09 17-32-00
T000131,ACC286312,ACC201645,1699.02,2026-01-02 11-39-00
T000132,ACC919808,ACC517170,6896.85,2026-01-14 08-32-00
T000133,ACC212969,ACC158350,14956.71,2026-01-11 05-46-00
T000134,ACC757824,ACC483078,3823.82,2026-01-07 04-20-00
T000135,ACC591201,ACC649036,10512.57,2026-01-02 14-59-00
T000136,ACC227716,ACC605566,7202.79,2026-01-10 10-52-00
T000137,ACC771606,ACC315366,14622.03,2026-01-12 09-21-00
T000138,ACC221409,ACC390893,6363.23,2026-01-11 17-19-00
T000139,ACC452213,ACC772393,8682.32,2026-01-08 09-45-00
T000140,ACC617402,ACC132257,8942.37,2026-01-08 20-30-00
T000141,ACC862524,ACC786209,11412.35,2026-01-05 12-06-00
T000142,ACC217166,ACC409075,4345.55,2026-01-03 04-16-00
T000143,ACC252317,ACC500621,22308.75,2026-01-14 07-58-00
T000144,ACC147247,ACC796133,1537.43,2026-01-13 09-22-00
T000145,ACC591915,ACC104442,16287.97,2026-01-07 06-27-00
T000146,ACC527932,ACC168561,17329.87,2026-01-03 13-44-00
T000147,ACC737670,ACC208231,16913.15,2026-01-06 17-42-00
T000148,ACC163376,ACC575916,15292.92,2026-01-08 13-27-00
T000149,ACC319659,ACC611399,1048.79,2026-01-04 08-06-00
T000150,ACC523743,ACC525458,3499.58,2026-01-16 03-39-00
T000151,ACC997632,ACC568092,3865.76,2026-01-12 21-13-00
T000152,ACC799513,ACC864271,1232.52,2026-01-06 18-42-00
T000153,ACC712897,ACC972345,22282.87,2026-01-14 01-11-00
T000154,ACC584019,ACC660529,21479.2,2026-01-07 12-29-00
T000155,ACC342386,ACC597867,17556.6,2026-01-07 00-33-00
T000156,ACC799138,ACC531630,7148.52,2026-01-07 23-31-00
T000157,ACC249930,ACC530351,4827.84,2026-01-05 13-35-00
T000158,ACC347910,ACC903392,13221.67,2026-01-04 02-13-00
T000159,ACC449308,ACC926114,24010.57,2026-01-02 22-50-00
T000160,ACC331915,ACC780202,20785.39,2026-01-14 14-31-00
T000161,ACC915087,ACC991333,1269.17,2026-01-07 15-50-00
T000162,ACC212409,ACC851053,4546.61,2026-01-03 03-55-00
T000163,ACC748473,ACC945661,12427.62,2026-01-03 07-57-00
T000164,ACC196340,ACC134290,14221.73,2026-01-09 17-33-00
T000165,ACC135486,ACC935817,8178.29,2026-01-03 19-55-00
T000166,ACC573963,ACC447173,21315.5,2026-01-14 04-58-00
T000167,ACC957473,ACC601270,20354.44,2026-01-08 10-17-00
T000168,ACC473665,ACC280552,4252.6,2026-01-14 08-56-00
T000169,ACC716451,ACC508393,15199.85,2026-01-07 05-25-00
T000170,ACC843315,ACC325345,7202.94,2026-01-06 12-47-00
T000171,ACC847954,ACC509067,15904.63,2026-01-15 05-13-00
T000172,ACC177295,ACC350616,4264.33,2026-01-04 19-02-00
T000173,ACC221402,ACC452323,6778.68,2026-01-13 04-41-00
T000174,ACC764314,ACC727340,3704.28,2026-01-13 10-18-00
T000175,ACC322529,ACC644073,15000.37,2026-01-15 16-37-00
T000176,ACC804557,ACC408557,1338.43,2026-01-03 03-22-00
T000177,ACC919626,ACC699183,4769.48,2026-01-07 15-17-00
T000178,ACC901444,ACC938883,10835.56,2026-01-16 07-48-00
T000179,ACC330528,ACC331387,23626.76,2026-01-10 23-39-00
T000180,ACC319785,ACC389889,10685.5,2026-01-07 20-05-00
T000181,ACC822512,ACC130390,2824.44,2026-01-03 14-12-00
T000182,ACC691735,ACC207882,11446.99,2026-01-06 06-05-00
T000183,ACC764478,ACC411189,18686.36,2026-01-08 17-47-00
T000184,ACC134181,ACC611661,14756.01,2026-01-11 05-05-00
T000185,ACC103780,ACC777780,24530.11,2026-01-06 13-51-00
T000186,ACC515697,ACC998001,19504.61,2026-01-09 04-19-00
T000187,ACC545487,ACC683162,2276.4,2026-01-08 15-34-00
T000188,ACC527214,ACC227116,18662.78,2026-01-03 21-44-00
T000189,ACC934256,ACC745405,23058.17,2026-01-07 15-53-00
T000190,ACC107511,ACC666655,8704.8,2026-01-14 13-45-00
T000191,ACC547646,ACC966447,7796.97,2026-01-02 19-50-00
T000192,ACC664646,ACC203956,7659.18,2026-01-12 21-49-00
T000193,ACC752999,ACC999469,6629.06,2026-01-04 08-02-00
T000194,ACC253671,ACC813432,10338.92,2026-01-02 01-34-00
T000195,ACC536888,ACC351477,2859.48,2026-01-06 11-28-00
T000196,ACC450634,ACC295706,16053.21,2026-01-09 18-51-00
T000197,ACC761424,ACC298518,23868.3,2026-01-04 21-28-00
T000198,ACC464616,ACC194738,1239.25,2026-01-15 04-16-00
T000199,ACC610125,ACC379601,16311.26,2026-01-04 15-54-00
T000200,ACC251307,ACC718879,1560.82,2026-01-05 12-43-00
T000201,ACC281890,ACC561434,13277.35,2026-01-11 00-04-00
T000202,ACC421545,ACC776339,22459.94,2026-01-10 18-35-00
T000203,ACC494311,ACC794667,15455.96,2026-01-04 04-01-00
T000204,ACC982260,ACC916415,1884.26,2026-01-11 06-30-00
T000205,ACC656607,ACC765318,16546.29,2026-01-01 11-02-00
T000206,ACC589478,ACC595823,7272.57,2026-01-03 22-51-00
T000207,ACC989389,ACC988641,9239.98,2026-01-12 16-50-00
T000208,ACC360109,ACC574991,1255.69,2026-01-10 07-46-00
T000209,ACC172177,ACC818190,1477.16,2026-01-12 22-39-00
T000210,ACC976602,ACC254594,10886.21,2026-01-12 23-27-00
T000211,ACC301738,ACC386173,3043.89,2026-01-11 09-06-00
T000212,ACC171428,ACC305331,19496.69,2026-01-08 17-01-00
T000213,ACC649050,ACC524060,7189.75,2026-01-01 10-05-00
T000214,ACC166709,ACC872809,4510.95,2026-01-03 15-48-00
T000215,ACC242334,ACC915572,13869.84,2026-01-14 22-54-00
T000216,ACC446930,ACC335413,6415.61,2026-01-08 18-44-00
T000217,ACC306590,ACC978081,11077.84,2026-01-07 12-12-00
T000218,ACC721157,ACC516425,18587.43,2026-01-04 08-33-00
T000219,ACC978027,ACC552297,9016.43,2026-01-14 19-54-00
T000220,ACC974075,ACC723027,8598.68,2026-01-06 17-00-00
T000221,ACC799225,ACC461649,18487.44,2026-01-10 17-43-00
T000222,ACC216385,ACC992367,2008.59,2026-01-09 13-11-00
T000223,ACC955839,ACC813891,23866.37,2026-01-10 03-35-00
T000224,ACC497685,ACC875851,15780.62,2026-01-12 04-23-00
T000225,ACC297503,ACC245387,21153.66,2026-01-02 19-39-00
T000226,ACC304263,ACC706343,11680.68,2026-01-01 18-05-00
T000227,ACC925760,ACC678141,4275.88,2026-01-15 12-02-00
T000228,ACC594345,ACC973025,12473.06,2026-01-04 17-05-00
T000229,ACC567642,ACC754176,4212.29,2026-01-12 13-53-00
T000230,ACC938777,ACC162422,22284.04,2026-01-08 20-41-00
T000231,ACC350094,ACC170418,23155.87,2026-01-09 12-00-00
T000232,ACC912768,ACC584701,18960.48,2026-01-09 21-31-00
T000233,ACC366178,ACC687742,9827.48,2026-01-05 11-20-00
T000234,ACC456366,ACC699844,19183.13,2026-01-04 08-45-00
T000235,ACC516608,ACC568682,14977.07,2026-01-10 10-13-00
T000236,ACC962913,ACC634921,17282.07,2026-01-11 23-07-00
T000237,ACC865776,ACC410135,20772.11,2026-01-01 10-47-00
T000238,ACC435333,ACC429076,16483.27,2026-01-02 07-09-00
T000239,ACC250138,ACC370340,15693.14,2026-01-06 01-17-00
T000240,ACC329643,ACC236582,1600.81,2026-01-12 09-42-00
T000241,ACC975048,ACC486879,23367.72,2026-01-12 14-57-00
T000242,ACC855659,ACC134831,19443.92,2026-01-11 04-23-00
T000243,ACC173677,ACC693201,10972.42,2026-01-11 20-41-00
T000244,ACC146073,ACC239268,22521.24,2026-01-11 06-29-00
T000245,ACC532318,ACC918146,1546.1,2026-01-12 12-21-00
T000246,ACC383953,ACC278389,20209.98,2026-01-14 03-51-00
T000247,ACC109568,ACC740748,3745.89,2026-01-06 03-26-00
T000248,ACC692702,ACC997462,14000.86,2026-01-03 03-17-00
T000249,ACC196407,ACC216147,3667.91,2026-01-06 05-11-00
T000250,ACC187405,ACC765810,21391.02,2026-01-14 10-53-00
T000251,ACC560130,ACC105374,10008.79,2026-01-07 12-01-00
T000252,ACC100820,ACC585456,1258.95,2026-01-13 03-57-00
T000253,ACC104888,ACC556738,5370.66,2026-01-05 10-34-00
T000254,ACC979324,ACC716704,18538.12,2026-01-09 22-03-00
T000255,ACC203144,ACC677157,10335.57,2026-01-08 12-31-00
T000256,ACC762833,ACC600017,14978.03,2026-01-09 13-14-00
T000257,ACC847442,ACC370445,1016.19,2026-01-10 06-24-00
T000258,ACC430105,ACC574799,2361.63,2026-01-12 03-30-00
T000259,ACC533027,ACC142952,1722.52,2026-01-04 06-16-00
T000260,ACC303471,ACC685342,20511.78,2026-01-13 23-44-00
T000261,ACC327911,ACC605892,4640.58,2026-01-12 13-31-00
T000262,ACC236478,ACC132436,15883.63,2026-01-15 08-00-00
T000263,ACC584730,ACC468357,21677.68,2026-01-01 22-25-00
T000264,ACC361326,ACC895824,1557.69,2026-01-02 10-20-00
T000265,ACC822433,ACC518090,18343.28,2026-01-06 13-13-00
T000266,ACC838527,ACC439141,21816.83,2026-01-14 03-48-00
T000267,ACC719976,ACC449572,15236.45,2026-01-14 20-09-00
T000268,ACC813375,ACC871815,20671.23,2026-01-07 16-40-00
T000269,ACC389756,ACC423698,6849.19,2026-01-02 07-20-00
T000270,ACC701543,ACC291919,23895.1,2026-01-13 10-41-00
T000271,ACC585944,ACC874368,2616.76,2026-01-14 12-32-00
T000272,ACC450619,ACC876163,10823.14,2026-01-10 12-47-00
T000273,ACC843447,ACC202779,21388.34,2026-01-13 22-32-00
T000274,ACC438087,ACC864939,17313.62,2026-01-16 00-53-00
T000275,ACC182821,ACC748165,14559.11,2026-01-04 05-49-00
T000276,ACC314939,ACC547905,9505.68,2026-01-03 02-04-00
T000277,ACC549895,ACC977640,11915.74,2026-01-15 07-44-00
T000278,ACC232097,ACC926904,11783.52,2026-01-12 04-59-00
T000279,ACC216415,ACC322807,16084.4,2026-01-04 07-25-00
T000280,ACC954744,ACC985350,20958.17,2026-01-12 13-56-00
T000281,ACC408994,ACC171669,20227.04,2026-01-02 21-46-00
T000282,ACC162622,ACC659424,8551.26,2026-01-07 23-30-00
T000283,ACC929074,ACC323889,20349.1,2026-01-05 03-23-00
T000284,ACC465109,ACC312319,24017.5,2026-01-06 05-48-00
T000285,ACC655382,ACC479636,9778.96,2026-01-02 06-32-00
T000286,ACC956442,ACC437994,24789.28,2026-01-08 10-29-00
T000287,ACC699401,ACC176039,22336.78,2026-01-06 09-47-00
T000288,ACC836156,ACC284680,18331.17,2026-01-05 02-31-00
T000289,ACC207530,ACC364773,13688.11,2026-01-01 15-40-00
T000290,ACC986881,ACC979353,10911.39,2026-01-04 21-11-00
T000291,ACC137727,ACC569600,14279.27,2026-01-07 19-28-00
T000292,ACC908037,ACC957940,6036.71,2026-01-15 09-48-00
T000293,ACC787031,ACC134809,5010.3,2026-01-08 12-59-00
T000294,ACC132526,ACC478975,2055.69,2026-01-11 06-55-00
T000295,ACC381294,ACC600754,15436.67,2026-01-04 06-08-00
T000296,ACC243177,ACC671050,9989.09,2026-01-12 18-21-00
T000297,ACC956405,ACC769110,2173.55,2026-01-10 01-54-00
T000298,ACC254090,ACC583789,14002.4,2026-01-09 08-17-00
T000299,ACC791930,ACC538642,21544.82,2026-01-03 21-26-00
T000300,ACC653881,ACC219477,8162.68,2026-01-15 12-25-00
T000301,ACC418508,ACC565698,16799.02,2026-01-05 17-16-00
T000302,ACC176501,ACC160581,15825.87,2026-01-14 13-54-00
T000303,ACC576025,ACC647209,10206.35,2026-01-09 14-31-00
T000304,ACC252769,ACC363782,12546.39,2026-01-07 03-34-00
T000305,ACC988125,ACC524845,20871.52,2026-01-08 18-12-00
T000306,ACC498974,ACC459548,16390.31,2026-01-03 21-18-00
T000307,ACC590507,ACC630863,4505.62,2026-01-08 19-00-00
T000308,ACC208004,ACC955645,5909.14,2026-01-15 02-52-00
T000309,ACC162856,ACC334063,17296.68,2026-01-01 12-18-00
T000310,ACC808832,ACC983584,15351.16,2026-01-07 11-11-00
T000311,ACC692717,ACC432635,8450.76,2026-01-15 06-07-00
T000312,ACC992732,ACC458537,17637.26,2026-01-14 17-02-00
T000313,ACC196700,ACC264444,1497.61,2026-01-14 04-00-00
T000314,ACC874675,ACC839086,1218.76,2026-01-08 20-00-00
T000315,ACC595654,ACC507053,13611.79,2026-01-06 23-16-00
T000316,ACC216461,ACC929015,14492.14,2026-01-10 13-21-00
T000317,ACC897401,ACC277976,22817.55,2026-01-09 09-58-00
T000318,ACC775474,ACC318031,24564.35,2026-01-05 21-39-00
T000319,ACC209311,ACC838266,17868.51,2026-01-08 07-01-00
T000320,ACC591806,ACC667660,5674.89,2026-01-07 06-36-00
T000321,ACC837758,ACC164049,13173.32,2026-01-04 17-47-00
T000322,ACC762280,ACC444679,14149.57,2026-01-06 18-33-00
T000323,ACC266764,ACC572057,17311.21,2026-01-05 11-00-00
T000324,ACC209433,ACC512477,10266.93,2026-01-15 03-06-00
T000325,ACC331766,ACC809854,18184.71,2026-01-11 06-40-00
T000326,ACC610423,ACC904324,12757.63,2026-01-14 00-34-00
T000327,ACC188331,ACC663603,10262.61,2026-01-06 02-16-00
T000328,ACC518561,ACC100766,2082.77,2026-01-05 22-01-00
T000329,ACC230020,ACC251985,24352.96,2026-01-05 04-16-00
T000330,ACC891769,ACC787334,10857.87,2026-01-07 15-24-00
T000331,ACC694028,ACC303896,21511.14,2026-01-10 11-14-00
T000332,ACC394197,ACC949597,23879.7,2026-01-09 13-12-00
T000333,ACC892310,ACC386570,17477.25,2026-01-08 12-02-00
T000334,ACC830093,ACC336677,23522.41,2026-01-15 03-57-00
T000335,ACC763573,ACC666309,8022.45,2026-01-05 20-39-00
T000336,ACC570656,ACC813266,24821.12,2026-01-03 04-24-00
T000337,ACC406183,ACC541349,20211.96,2026-01-05 03-36-00
T000338,ACC418799,ACC765681,9747.45,2026-01-02 21-49-00
T000339,ACC741213,ACC915400,13955.82,2026-01-06 01-42-00
T000340,ACC786465,ACC163347,12578.69,2026-01-04 01-06-00
T000341,ACC353914,ACC860373,1460.59,2026-01-08 03-30-00
T000342,ACC536667,ACC498710,16593.57,2026-01-02 05-59-00
T000343,ACC673935,ACC531251,13752.72,2026-01-03 07-25-00
T000344,ACC160792,ACC251042,21975.24,2026-01-16 00-20-00
T000345,ACC399924,ACC370563,21775.59,2026-01-11 22-12-00
T000346,ACC867133,ACC663793,14834.26,2026-01-15 17-20-00
T000347,ACC302636,ACC372510,4298.53,2026-01-03 06-44-00
T000348,ACC309724,ACC384056,17918.93,2026-01-14 05-35-00
T000349,ACC684745,ACC268949,16661.28,2026-01-09 04-14-00
T000350,ACC976666,ACC610512,14414.81,2026-01-13 00-30-00
T000351,ACC769768,ACC979463,12050.18,2026-01-09 22-26-00
T000352,ACC786367,ACC349247,14015.97,2026-01-11 13-23-00
T000353,ACC815441,ACC593358,22774.2,2026-01-02 10-36-00
T000354,ACC983446,ACC127539,22376.34,2026-01-05 12-47-00
T000355,ACC611870,ACC905687,22287.44,2026-01-01 10-02-00
T000356,ACC286051,ACC369685,17304.04,2026-01-13 04-29-00
T000357,ACC777706,ACC698188,11685.2,2026-01-12 01-24-00
T000358,ACC747465,ACC498979,19624.39,2026-01-14 12-59-00
T000359,ACC648256,ACC119001,6186.53,2026-01-15 21-23-00
T000360,ACC956050,ACC994256,4540.42,2026-01-09 18-01-00
T000361,ACC852266,ACC723583,24707.89,2026-01-04 08-44-00
T000362,ACC560422,ACC852750,4640.39,2026-01-01 23-05-00
T000363,ACC674430,ACC392213,9307.57,2026-01-09 23-23-00
T000364,ACC993583,ACC477623,3863.21,2026-01-12 15-27-00
T000365,ACC450027,ACC603749,12670.46,2026-01-08 03-54-00
T000366,ACC248972,ACC176326,8519.41,2026-01-12 16-22-00
T000367,ACC785748,ACC259864,10179.72,2026-01-03 01-23-00
T000368,ACC268854,ACC486574,9780.92,2026-01-15 19-38-00
T000369,ACC453932,ACC490017,21539.76,2026-01-15 22-15-00
T000370,ACC548176,ACC116815,11421.87,2026-01-03 15-19-00
T000371,ACC175618,ACC824230,23967.46,2026-01-05 11-43-00
T000372,ACC858736,ACC892531,7708.37,2026-01-09 16-13-00
T000373,ACC778530,ACC267542,15313.95,2026-01-05 12-42-00
T000374,ACC990293,ACC201398,7202.54,2026-01-02 08-02-00
T000375,ACC214312,ACC407268,12748.21,2026-01-04 16-32-00
T000376,ACC256520,ACC291984,5444.48,2026-01-06 01-29-00
T000377,ACC749330,ACC113358,18122.82,2026-01-06 13-46-00
T000378,ACC619342,ACC199225,5940.16,2026-01-10 17-02-00
T000379,ACC872894,ACC742330,16751.18,2026-01-13 22-48-00
T000380,ACC576585,ACC746192,18263.19,2026-01-04 23-39-00
T000381,ACC919042,ACC175408,22104.8,2026-01-06 03-14-00
T000382,ACC850852,ACC517552,22002.94,2026-01-06 02-43-00
T000383,ACC308935,ACC457428,17311.28,2026-01-02 18-50-00
T000384,ACC876949,ACC240970,21875.61,2026-01-11 19-48-00
T000385,ACC513233,ACC787657,23106.87,2026-01-04 01-34-00
T000386,ACC580404,ACC798758,13680.19,2026-01-12 16-22-00
T000387,ACC313413,ACC147532,16062.34,2026-01-06 08-56-00
T000388,ACC995891,ACC508420,19636.72,2026-01-05 20-09-00
T000389,ACC470600,ACC449717,9540.88,2026-01-10 22-22-00
T000390,ACC920829,ACC577310,6811.5,2026-01-15 03-18-00
T000391,ACC943215,ACC537840,24472.22,2026-01-02 02-08-00
T000392,ACC261886,ACC277735,13562.89,2026-01-07 13-08-00
T000393,ACC922049,ACC160008,18762.55,2026-01-10 11-04-00
T000394,ACC945341,ACC484567,22325.15,2026-01-11 10-10-00
T000395,ACC320420,ACC880251,9544.77,2026-01-02 13-33-00
T000396,ACC218611,ACC757931,23066.32,2026-01-10 02-30-00
T000397,ACC266831,ACC884674,16017.95,2026-01-01 18-50-00
T000398,ACC557371,ACC715345,17626.33,2026-01-12 02-35-00
T000399,ACC461832,ACC508594,23633.48,2026-01-16 03-21-00
T000400,ACC514816,ACC740547,3810.15,2026-01-13 05-22-00
T000401,ACC899840,ACC103610,5644.54,2026-01-13 14-06-00
T000402,ACC914412,ACC562837,11057.89,2026-01-16 06-08-00
T000403,ACC720588,ACC250968,22358.64,2026-01-14 06-00-00
T000404,ACC828734,ACC126893,23906.55,2026-01-10 20-16-00
T000405,ACC876824,ACC470512,9685.37,2026-01-01 14-11-00
T000406,ACC365227,ACC426062,20934.85,2026-01-10 01-53-00
T000407,ACC544183,ACC727096,13684.69,2026-01-07 08-40-00
T000408,ACC211507,ACC491745,19561.66,2026-01-04 11-41-00
T000409,ACC253528,ACC763941,23739.75,2026-01-15 18-57-00
T000410,ACC860503,ACC581272,12983.46,2026-01-09 07-00-00
